1435087,1678304,865877,278173,263649,295363,76430,26361,
983973,152295,76245,26108,42932,135923,51282,69444,
659306,411211,15133,36997,58471,80909,92287,88578,
544280,41069,3124,10918,4686,5987,1640,1498,
1220463,664708,112116,76308,139895,223018,204413,94382,
512886,112628,21893,37275,22607,50739,23683,11563,
110448,15648,25029,35495,4267,10679,13112,12865,
988948,307441,88283,83474,76812,61850,46121,37278,
971007,455467,234663,130532,177018,68178,15876,11587,
112068,120506,153216,169920,157736,39433,12397,6614,
820344,46847,27510,19968,10864,20273,10842,5598,
286608,127792,133556,167202,115474,41515,10128,9322,
1520769,1585165,724823,742560,298651,361937,259257,355268,
325089,227528,176372,134593,33625,23269,32589,16166,
994715,550526,426072,167418,130831,59466,13997,15983,
731461,149920,89319,49980,37930,29611,5640,4422,
957688,333502,137795,31839,62576,105403,110841,27651,
691962,117161,7633,19990,4558,15781,4824,4093,
1118342,405992,157533,359104,771768,446184,580620,173201,
584073,276540,109011,233646,53094,99724,16699,21508,
765706,216102,119960,80671,135595,151896,154364,64323,
675324,227382,314227,33879,125029,193608,79502,139089,
1205144,67574,11516,19086,12692,13023,7045,11107,
2277338,233805,16603,150778,115926,72499,78136,36436,
2366107,2091970,130937,127272,625438,534763,244622,26938,
879175,50404,24695,49227,66974,33691,14029,16566,
444298,111191,87338,128536,50381,122839,295067,142192,
191616,69392,47285,17102,25043,36232,49070,15925,
1272966,185456,214717,196738,79590,177413,84903,110774,
1154599,793426,128785,93050,26273,131676,137396,78508,
1220583,304124,74582,125442,150386,212448,198389,152209,
1686719,1263363,1064912,217625,518411,350480,427226,808613,
253407,48668,14384,53647,19001,57753,39343,50543,
594584,377293,96564,188052,84930,117764,128995,65549,
1877053,88794,8424,7514,17072,15285,15926,12119,
1702028,33444,2367,5574,5036,4054,3160,5134,
577244,123866,65811,128780,79683,123532,47161,31382,
32895,107001,731,18656,12500,20072,9026,4819,
1779134,227041,85637,103082,134400,72689,28306,7887,
335851,99867,46340,38333,84017,58276,26902,7943,
535738,122166,251412,166713,37685,72030,32299,8321,
202168,12370,16994,12847,11324,3225,1315,496,
984485,36649,11844,10293,5885,16025,2960,1306,
280204,42099,17920,24700,21624,28466,8865,2722,
751378,129369,6158,21745,19267,30319,10540,2852,
230991,84250,26505,29484,53942,33365,19344,3288,
638468,64313,123174,190726,51214,12976,2142,5977,
224618,151996,9068,21757,16689,28658,12211,6363,
363019,109540,11312,42983,39901,19934,4783,2733,
278605,131248,33156,17966,28185,14844,8898,2376,
318487,39706,9160,15801,7945,5726,2014,728,
227465,23935,65643,20140,37827,16276,4678,2358,
185867,14774,10804,9048,17810,7216,4332,1691,
719807,894263,356025,225287,240787,398959,64557,17331,
1736951,81281,13567,22639,44931,15262,4245,2023,
1790724,593553,319188,282746,292971,365908,120295,37007,
199715,41793,40713,50664,16737,10101,1689,1191,
148179,168663,33872,13650,15836,25147,9973,3914,
201501,38205,21972,48554,71575,34835,14710,6259,
1208627,202142,133007,71637,53704,43234,8176,4509,
122475,16822,1584,211,1410,1541,215,189,
511397,12789,639,2673,5777,3864,408,250,
205550,216718,5115,33020,86949,47435,11853,9497,
3014245,366050,226161,344694,180875,86138,51004,20986,
