929375,511676,133898,177198,96767,133763,67497,76689,
141821,12911,3736,10823,6148,6294,4527,3420,
1084832,681710,154220,261832,540759,582809,305145,504156,
1529719,132732,96737,101606,202540,76787,97258,141351,
440411,52998,18312,25068,11661,29113,8026,16562,
57300,41298,3823,3535,10923,6671,2442,3373,
944483,41655,68996,27618,40507,119509,107699,50432,
6536,2747,863,540,348,166,65,51,
1,4,1,1,0,2,1,0,
3,0,0,0,0,1,1,1,
3,1,1,0,0,1,0,0,
5,1,0,3,1,2,0,0,
4,4,2,1,1,1,1,0,
5,2,0,2,0,2,1,1,
1,0,6,2,0,2,1,1,
2,2,0,3,1,3,0,0,
0,1,0,0,1,1,1,0,
3,3,0,2,0,1,2,0,
4,1,0,0,1,0,1,0,
7,1,0,2,0,1,1,0,
2,1,0,2,0,1,1,0,
162627,97863,166949,285442,255871,179765,269681,411837,
234128,72774,11934,29974,18355,50100,11480,17013,
752101,371315,58884,25769,13673,19261,11553,10365,
5,2,0,0,1,1,0,0,
0,2,0,1,1,1,1,0,
0,4,1,0,1,2,1,0,
5,4,0,0,2,1,0,1,
530275,105658,51503,54939,17821,25315,15199,2199,
471294,240375,8079,84817,71599,74900,17799,18174,
1330517,103583,98429,90951,19921,39355,37932,14273,
166818,66363,9219,14507,29152,74722,72513,26790,
653677,233312,323158,95133,141226,214530,235182,80840,
947090,256969,129749,321565,281369,105540,86038,124593,
1895872,144509,67885,72482,97263,359629,201620,70955,
210836,119576,179126,153076,92062,168153,319892,91191,
48626,12496,16034,3884,5474,8253,2018,2630,
440945,208878,78928,121312,35555,68849,76636,58352,
1339872,127779,29222,68506,42364,24659,10775,18584,
623069,115710,77678,73477,16283,6987,7345,6087,
846303,353621,135563,253943,269182,150248,24462,10692,
2431357,481452,96925,44452,110651,73343,41660,15615,
2806772,989315,647371,242532,474331,386350,159536,152363,
1520835,94944,9207,39907,46733,14453,4939,3298,
283002,67210,10555,23712,35717,70232,42409,28775,
109812,23719,5588,8562,7363,12245,16999,11972,
11,5,7,4,15,15,23,13,
915900,322023,82358,22833,12765,11399,4298,1801,
858794,87437,16404,26813,16708,6079,982,373,
246702,100035,30810,167260,46279,167548,217244,72960,
1207154,278492,166953,98301,40405,198483,73993,73882,
731481,1217925,655001,1009247,154008,758776,387130,286273,
494030,931053,134216,586450,219742,624571,491244,514716,
930805,232423,53590,99643,112473,159012,282550,61510,
576723,64689,84463,66312,187235,772613,536521,145537,
186494,194099,226257,89597,117093,454118,430941,117435,
1654791,76738,31441,51280,23184,172056,58029,54144,
56060,8042,1239,468,6791,1674,697,1054,
582287,30952,9542,10892,16531,58535,54501,19866,
106994,33254,26278,1771,44448,66525,72940,19200,
1218238,33024,134226,97270,245685,173870,229237,95537,
1328880,131136,297190,64679,121824,360867,164049,54554,
433743,66314,203587,154708,60780,225245,100460,145648,
925990,126691,159437,173830,99990,514780,123348,70436,
