194438,44172,17688,13409,9123,66812,90120,29372,
149661,40119,10942,3284,20901,247883,63177,14736,
1104186,175811,52925,45542,87962,473426,209466,24836,
119311,4612,7351,10830,17597,159420,38909,12994,
351150,46933,15028,2536,14362,78111,43969,24922,
204787,38212,2062,6558,14834,42117,57721,30683,
1355963,32110,16673,51767,82059,404979,431417,116413,
1198983,99319,22205,32945,63160,552861,572298,69203,
105275,50445,5703,7640,22186,103619,70897,14493,
151134,80468,51120,25508,13164,70662,126796,18475,
52871,21290,1229,10024,32242,85926,152310,39305,
132518,25301,22332,7592,16535,166948,33896,15271,
416576,59257,9675,25494,54879,364214,123878,175134,
517858,96080,14845,61747,23689,366358,254867,46521,
749681,123112,24617,23420,47900,400986,376873,71937,
271450,202096,29210,58365,11224,308222,202762,29318,
539377,288191,41149,81212,55949,189462,313793,168872,
2385595,54597,50231,10728,122645,313056,220024,93627,
533196,61962,36941,17820,25932,287091,203116,169027,
54279,8149,12160,1082,10209,360135,46619,13829,
202164,20778,18993,11016,8380,72057,53958,27527,
224091,51782,28845,21386,27061,71017,88545,21397,
1017922,55962,35399,14458,31525,192965,247373,48877,
1217835,61360,14109,16845,33133,214339,426778,125746,
609981,280352,29037,28726,41457,488927,312178,42236,
117703,34936,21573,8186,6797,201196,25595,12124,
934175,96702,42067,34200,5266,126773,280795,46055,
679973,265572,56145,70485,70787,344058,225477,172246,
79760,29115,29416,15496,14889,96643,85070,20605,
1146236,249064,240050,577479,185263,1195785,2008921,217202,
49096,30851,8080,1605,14573,107171,107074,26883,
61188,23119,23736,4240,11489,256094,64327,19669,
60540,46385,26850,11478,8175,86763,96245,27739,
464380,108191,66326,49323,129789,165794,256128,183035,
459629,30452,5810,60230,54753,469640,82302,65202,
311311,77436,86321,44290,135353,252554,147841,91373,
24943,20476,6503,4722,22612,187043,40254,10704,
673564,136737,56490,46910,116365,443775,391789,95435,
1538853,107490,34407,42230,24022,948275,108480,50480,
191658,56592,16029,19798,141973,349301,302789,174853,
267915,57288,64905,57803,98364,441756,313035,80282,
113614,68099,10638,31048,17724,58358,89695,45530,
105191,64395,14187,11927,11539,115955,109989,16338,
569634,56051,43902,96378,25890,181863,164888,93657,
440578,43641,25869,50150,47211,302539,268998,54147,
176709,54644,13651,35286,64687,883547,158683,99943,
351785,174168,30685,42660,44238,297015,264284,46411,
589310,105307,252740,93182,34680,357409,103267,102755,
347981,13246,5838,11479,21577,158915,26336,16075,
1326333,53728,14583,58394,57001,357889,262496,66523,
178272,73544,26907,122342,52979,556257,164640,127200,
2622838,880758,625958,441540,137637,1376709,483175,186264,
38160,10123,3008,2055,1902,9885,9582,2941,
318076,119879,45945,24615,11254,51658,42705,15784,
160920,45571,18595,6037,12785,65813,55932,23882,
1147249,49821,9777,50161,71994,382038,468841,69241,
2207034,2013047,465237,211422,196227,1911281,340237,102611,
1264494,89717,25482,119826,141711,367588,319192,79407,
653550,6603,5820,8043,6619,6661,4825,1571,
1701341,1325189,151706,1110613,425288,955551,455012,356317,
611574,203254,128741,103865,71806,67521,67700,21897,
347308,504922,448191,398018,244673,365555,113000,127610,
782853,166571,127889,84519,71554,103472,150019,93633,
785006,48545,38782,35492,14930,31431,15219,27902,
